GEO_ID,NAME,pop,households,median_income,state,county,tract
1400000US18097340302,Census Tract 3403.02; Marion County; Indiana,5259,1819,51922,18,097,340302
1400000US18097340400,Census Tract 3404; Marion County; Indiana,4491,1341,54375,18,097,340400
1400000US18097340500,Census Tract 3405; Marion County; Indiana,5440,2059,45692,18,097,340500
1400000US18097340600,Census Tract 3406; Marion County; Indiana,5304,1574,60612,18,097,340600
1400000US18097340700,Census Tract 3407; Marion County; Indiana,4258,1457,51128,18,097,340700
1400000US18097340800,Census Tract 3408; Marion County; Indiana,1657,768,76250,18,097,340800
1400000US18097340901,Census Tract 3409.01; Marion County; Indiana,3813,1207,82305,18,097,340901
1400000US18097340903,Census Tract 3409.03; Marion County; Indiana,1825,1133,48835,18,097,340903
1400000US18097340904,Census Tract 3409.04; Marion County; Indiana,4898,2344,55707,18,097,340904
1400000US18097341000,Census Tract 3410; Marion County; Indiana,1643,775,83281,18,097,341000
1400000US18097341100,Census Tract 3411; Marion County; Indiana,2397,795,50511,18,097,341100
1400000US18097341200,Census Tract 3412; Marion County; Indiana,2391,944,53077,18,097,341200
1400000US18097341600,Census Tract 3416; Marion County; Indiana,2114,846,22813,18,097,341600
1400000US18097341701,Census Tract 3417.01; Marion County; Indiana,2806,933,47083,18,097,341701
1400000US18097341702,Census Tract 3417.02; Marion County; Indiana,2323,752,49531,18,097,341702
1400000US18097341902,Census Tract 3419.02; Marion County; Indiana,4020,1651,72609,18,097,341902
1400000US18097341903,Census Tract 3419.03; Marion County; Indiana,6650,2272,47619,18,097,341903
1400000US18097341904,Census Tract 3419.04; Marion County; Indiana,2273,930,74931,18,097,341904
1400000US18097342000,Census Tract 3420; Marion County; Indiana,5887,2137,70510,18,097,342000
1400000US18097342101,Census Tract 3421.01; Marion County; Indiana,5417,2144,65922,18,097,342101
1400000US18097342200,Census Tract 3422; Marion County; Indiana,4877,1856,49405,18,097,342200
1400000US18097342300,Census Tract 3423; Marion County; Indiana,6349,2197,49675,18,097,342300
1400000US18097342400,Census Tract 3424; Marion County; Indiana,1578,520,58200,18,097,342400
1400000US18097342500,Census Tract 3425; Marion County; Indiana,5626,1686,47964,18,097,342500
1400000US18097342600,Census Tract 3426; Marion County; Indiana,3485,1123,50403,18,097,342600
1400000US18097350100,Census Tract 3501; Marion County; Indiana,1501,628,55500,18,097,350100
1400000US18097350300,Census Tract 3503; Marion County; Indiana,2681,1587,35812,18,097,350300
1400000US18097350400,Census Tract 3504; Marion County; Indiana,2753,965,65750,18,097,350400
1400000US18097350500,Census Tract 3505; Marion County; Indiana,2650,1196,41218,18,097,350500
1400000US18097350600,Census Tract 3506; Marion County; Indiana,4903,2252,30388,18,097,350600
1400000US18097350700,Census Tract 3507; Marion County; Indiana,1781,785,20750,18,097,350700
1400000US18097350800,Census Tract 3508; Marion County; Indiana,2517,836,36250,18,097,350800
1400000US18097350900,Census Tract 3509; Marion County; Indiana,1925,734,100625,18,097,350900
1400000US18097351000,Census Tract 3510; Marion County; Indiana,2206,1015,56528,18,097,351000
1400000US18097351200,Census Tract 3512; Marion County; Indiana,2453,1188,35893,18,097,351200
1400000US18097351500,Census Tract 3515; Marion County; Indiana,1980,1012,62045,18,097,351500
1400000US18097351600,Census Tract 3516; Marion County; Indiana,2463,1183,112072,18,097,351600
1400000US18097351700,Census Tract 3517; Marion County; Indiana,3071,1364,85652,18,097,351700
1400000US18097351900,Census Tract 3519; Marion County; Indiana,2050,1079,51031,18,097,351900
1400000US18097352100,Census Tract 3521; Marion County; Indiana,2107,717,46537,18,097,352100
1400000US18097352300,Census Tract 3523; Marion County; Indiana,1818,655,39583,18,097,352300
1400000US18097352400,Census Tract 3524; Marion County; Indiana,3116,1262,41382,18,097,352400
1400000US18097352500,Census Tract 3525; Marion County; Indiana,3244,1697,58113,18,097,352500
1400000US18097352600,Census Tract 3526; Marion County; Indiana,4256,1594,72264,18,097,352600
1400000US18097352700,Census Tract 3527; Marion County; Indiana,3051,1009,87007,18,097,352700
1400000US18097352800,Census Tract 3528; Marion County; Indiana,1812,766,48500,18,097,352800
1400000US18097353300,Census Tract 3533; Marion County; Indiana,2491,1560,51204,18,097,353300
1400000US18097353500,Census Tract 3535; Marion County; Indiana,2011,1300,43750,18,097,353500
1400000US18097353600,Census Tract 3536; Marion County; Indiana,2413,1125,42127,18,097,353600
1400000US18097354201,Census Tract 3542.01; Marion County; Indiana,4219,2735,82204,18,097,354201
1400000US18097354202,Census Tract 3542.02; Marion County; Indiana,4005,2531,65489,18,097,354202
1400000US18097354400,Census Tract 3544; Marion County; Indiana,1426,670,97885,18,097,354400
1400000US18097354500,Census Tract 3545; Marion County; Indiana,2051,903,90536,18,097,354500
1400000US18097354700,Census Tract 3547; Marion County; Indiana,1263,681,29306,18,097,354700
1400000US18097354800,Census Tract 3548; Marion County; Indiana,2067,708,65813,18,097,354800
1400000US18097354900,Census Tract 3549; Marion County; Indiana,2519,1281,36626,18,097,354900
1400000US18097355000,Census Tract 3550; Marion County; Indiana,2104,834,45000,18,097,355000
1400000US18097355100,Census Tract 3551; Marion County; Indiana,1818,986,23977,18,097,355100
1400000US18097355300,Census Tract 3553; Marion County; Indiana,2314,1094,42419,18,097,355300
1400000US18097355400,Census Tract 3554; Marion County; Indiana,1929,1163,41554,18,097,355400
1400000US18097355500,Census Tract 3555; Marion County; Indiana,3317,1435,54269,18,097,355500
1400000US18097355600,Census Tract 3556; Marion County; Indiana,2494,876,45357,18,097,355600
1400000US18097355700,Census Tract 3557; Marion County; Indiana,2059,1003,44638,18,097,355700
1400000US18097355900,Census Tract 3559; Marion County; Indiana,2105,1119,112868,18,097,355900
1400000US18097356200,Census Tract 3562; Marion County; Indiana,3908,1460,92204,18,097,356200
1400000US18097356400,Census Tract 3564; Marion County; Indiana,4238,1841,38141,18,097,356400
1400000US18097356900,Census Tract 3569; Marion County; Indiana,2142,960,50357,18,097,356900
1400000US18097357000,Census Tract 3570; Marion County; Indiana,2040,1031,83708,18,097,357000
1400000US18097357100,Census Tract 3571; Marion County; Indiana,1823,967,85604,18,097,357100
1400000US18097357200,Census Tract 3572; Marion County; Indiana,2686,1079,88798,18,097,357200
1400000US18097357300,Census Tract 3573; Marion County; Indiana,1981,823,46328,18,097,357300
1400000US18097357400,Census Tract 3574; Marion County; Indiana,3858,1603,37088,18,097,357400
1400000US18097357500,Census Tract 3575; Marion County; Indiana,3673,1331,61331,18,097,357500
1400000US18097357601,Census Tract 3576.01; Marion County; Indiana,5109,1886,42823,18,097,357601
1400000US18097357602,Census Tract 3576.02; Marion County; Indiana,1606,579,42813,18,097,357602
1400000US18097357800,Census Tract 3578; Marion County; Indiana,1539,700,45438,18,097,357800
1400000US18097357900,Census Tract 3579; Marion County; Indiana,3748,1529,63523,18,097,357900
1400000US18097358000,Census Tract 3580; Marion County; Indiana,1423,513,65625,18,097,358000
1400000US18097358100,Census Tract 3581; Marion County; Indiana,2439,975,43565,18,097,358100
1400000US18097360101,Census Tract 3601.01; Marion County; Indiana,2639,1109,30240,18,097,360101
1400000US18097360102,Census Tract 3601.02; Marion County; Indiana,1887,769,34415,18,097,360102
1400000US18097360201,Census Tract 3602.01; Marion County; Indiana,4404,2010,48429,18,097,360201
1400000US18097360202,Census Tract 3602.02; Marion County; Indiana,3638,1090,63168,18,097,360202
1400000US18097360301,Census Tract 3603.01; Marion County; Indiana,3812,1377,58428,18,097,360301
1400000US18097360302,Census Tract 3603.02; Marion County; Indiana,2870,1079,18854,18,097,360302
1400000US18097360401,Census Tract 3604.01; Marion County; Indiana,5537,2816,43100,18,097,360401
1400000US18097360402,Census Tract 3604.02; Marion County; Indiana,3041,1045,25846,18,097,360402
1400000US18097360405,Census Tract 3604.05; Marion County; Indiana,5761,2376,59725,18,097,360405
1400000US18097360406,Census Tract 3604.06; Marion County; Indiana,4140,1802,36111,18,097,360406
1400000US18097360407,Census Tract 3604.07; Marion County; Indiana,3282,1219,72229,18,097,360407
1400000US18097360501,Census Tract 3605.01; Marion County; Indiana,6196,2512,66211,18,097,360501
1400000US18097360502,Census Tract 3605.02; Marion County; Indiana,6385,2113,64255,18,097,360502
1400000US18097360601,Census Tract 3606.01; Marion County; Indiana,4662,1833,74028,18,097,360601
1400000US18097360602,Census Tract 3606.02; Marion County; Indiana,6287,2406,49125,18,097,360602
1400000US18097360700,Census Tract 3607; Marion County; Indiana,1913,842,82708,18,097,360700
1400000US18097360800,Census Tract 3608; Marion County; Indiana,2927,1255,45457,18,097,360800
1400000US18097360900,Census Tract 3609; Marion County; Indiana,5714,2409,41250,18,097,360900
1400000US18097361000,Census Tract 3610; Marion County; Indiana,2093,987,97926,18,097,361000
